emp_no,first_name,last_name,title,from_date,to_date
10001,Georgi,Facello,Senior Engineer,6/26/1986,1/1/9999
10004,Chirstian,Koblick,Engineer,12/1/1986,12/1/1995
10004,Chirstian,Koblick,Senior Engineer,12/1/1995,1/1/9999
10005,Kyoichi,Maliniak,Senior Staff,9/12/1996,1/1/9999
10005,Kyoichi,Maliniak,Staff,9/12/1989,9/12/1996
10006,Anneke,Preusig,Senior Engineer,8/5/1990,1/1/9999
10009,Sumant,Peac,Assistant Engineer,2/18/1985,2/18/1990
10009,Sumant,Peac,Engineer,2/18/1990,2/18/1995
10009,Sumant,Peac,Senior Engineer,2/18/1995,1/1/9999
10011,Mary,Sluis,Staff,1/22/1990,11/9/1996
10018,Kazuhide,Peha,Engineer,4/3/1987,4/3/1995
10018,Kazuhide,Peha,Senior Engineer,4/3/1995,1/1/9999
10019,Lillian,Haddadi,Staff,4/30/1999,1/1/9999
10020,Mayuko,Warwick,Engineer,12/30/1997,1/1/9999
10022,Shahaf,Famili,Engineer,9/3/1999,1/1/9999
10023,Bojan,Montemayor,Engineer,9/27/1999,1/1/9999
10026,Yongqiao,Berztiss,Engineer,3/20/1995,3/19/2001
10026,Yongqiao,Berztiss,Senior Engineer,3/19/2001,1/1/9999
10035,Alain,Chappelet,Engineer,9/5/1988,9/5/1996
10035,Alain,Chappelet,Senior Engineer,9/5/1996,1/1/9999
10047,Zvonko,Nyanchama,Engineer,3/31/1989,3/31/1998
10047,Zvonko,Nyanchama,Senior Engineer,3/31/1998,1/1/9999
10051,Hidefumi,Caine,Engineer,10/15/1992,10/15/1998
10051,Hidefumi,Caine,Senior Engineer,10/15/1998,1/1/9999
10053,Sanjiv,Zschoche,Senior Staff,11/13/1994,1/1/9999
10057,Ebbe,Callaway,Engineer,1/15/1992,1/15/2000
10057,Ebbe,Callaway,Senior Engineer,1/15/2000,1/1/9999
10058,Berhard,McFarlin,Senior Staff,4/25/1988,1/1/9999
10059,Alejandro,McAlpine,Senior Staff,6/26/1991,1/1/9999
10063,Gino,Leonhardt,Senior Engineer,4/8/1989,1/1/9999
10066,Kwee,Schusler,Assistant Engineer,2/26/1986,2/26/1992
10066,Kwee,Schusler,Engineer,2/26/1992,2/25/1998
10066,Kwee,Schusler,Senior Engineer,2/25/1998,1/1/9999
